# Dimensionless power spectra l*(l+1)*C_l/(2*pi)
# [0] l, [1] l1l1, [2] l1l2, [3] l2l2,
328 4.233971E-06 5.144304E-06 6.629098E-06 
329 4.233070E-06 5.143502E-06 6.628675E-06 
330 4.232162E-06 5.142689E-06 6.628239E-06 
331 4.231246E-06 5.141865E-06 6.627791E-06 
332 4.230322E-06 5.141029E-06 6.627332E-06 
333 4.229391E-06 5.140182E-06 6.626860E-06 
334 4.228454E-06 5.139324E-06 6.626376E-06 
335 4.227509E-06 5.138456E-06 6.625878E-06 
336 4.226557E-06 5.137577E-06 6.625368E-06 
337 4.225599E-06 5.136688E-06 6.624844E-06 
338 4.224635E-06 5.135789E-06 6.624305E-06 
339 4.223664E-06 5.134879E-06 6.623752E-06 
340 4.222686E-06 5.133958E-06 6.623183E-06 
341 4.221701E-06 5.133028E-06 6.622598E-06 
342 4.220710E-06 5.132086E-06 6.621996E-06 
343 4.219712E-06 5.131133E-06 6.621376E-06 
344 4.218707E-06 5.130169E-06 6.620737E-06 
345 4.217694E-06 5.129194E-06 6.620078E-06 
346 4.216674E-06 5.128206E-06 6.619397E-06 
347 4.215645E-06 5.127207E-06 6.618694E-06 
348 4.214609E-06 5.126194E-06 6.617968E-06 
349 4.213564E-06 5.125169E-06 6.617216E-06 
350 4.212511E-06 5.124131E-06 6.616441E-06 
351 4.211450E-06 5.123081E-06 6.615642E-06 
352 4.210382E-06 5.122019E-06 6.614822E-06 
353 4.209307E-06 5.120947E-06 6.613979E-06 
354 4.208225E-06 5.119865E-06 6.613116E-06 
355 4.207138E-06 5.118773E-06 6.612233E-06 
356 4.206046E-06 5.117671E-06 6.611331E-06 
357 4.204948E-06 5.116562E-06 6.610411E-06 
358 4.203845E-06 5.115444E-06 6.609473E-06 
359 4.202738E-06 5.114318E-06 6.608518E-06 
360 4.201627E-06 5.113186E-06 6.607547E-06 
361 4.200511E-06 5.112046E-06 6.606561E-06 
362 4.199392E-06 5.110899E-06 6.605559E-06 
363 4.198269E-06 5.109747E-06 6.604543E-06 
364 4.197143E-06 5.108589E-06 6.603512E-06 
365 4.196014E-06 5.107424E-06 6.602469E-06 
366 4.194881E-06 5.106255E-06 6.601412E-06 
367 4.193746E-06 5.105080E-06 6.600343E-06 
368 4.192608E-06 5.103900E-06 6.599261E-06 
369 4.191466E-06 5.102716E-06 6.598168E-06 
370 4.190322E-06 5.101526E-06 6.597063E-06 
371 4.189175E-06 5.100332E-06 6.595947E-06 
372 4.188026E-06 5.099133E-06 6.594820E-06 
373 4.186873E-06 5.097930E-06 6.593683E-06 
374 4.185717E-06 5.096721E-06 6.592534E-06 
375 4.184558E-06 5.095509E-06 6.591376E-06 
376 4.183396E-06 5.094291E-06 6.590207E-06 
377 4.182230E-06 5.093068E-06 6.589028E-06 
378 4.181060E-06 5.091841E-06 6.587839E-06 
379 4.179886E-06 5.090608E-06 6.586640E-06 
380 4.178708E-06 5.089370E-06 6.585430E-06 
381 4.177526E-06 5.088126E-06 6.584210E-06 
382 4.176338E-06 5.086876E-06 6.582980E-06 
383 4.175145E-06 5.085620E-06 6.581739E-06 
384 4.173947E-06 5.084357E-06 6.580488E-06 
385 4.172742E-06 5.083087E-06 6.579225E-06 
386 4.171531E-06 5.081809E-06 6.577952E-06 
387 4.170312E-06 5.080523E-06 6.576666E-06 
388 4.169086E-06 5.079229E-06 6.575369E-06 
389 4.167853E-06 5.077927E-06 6.574061E-06 
390 4.166613E-06 5.076618E-06 6.572742E-06 
391 4.165366E-06 5.075301E-06 6.571412E-06 
392 4.164114E-06 5.073977E-06 6.570073E-06 
393 4.162855E-06 5.072647E-06 6.568724E-06 
394 4.161591E-06 5.071311E-06 6.567367E-06 
395 4.160322E-06 5.069968E-06 6.566002E-06 
396 4.159048E-06 5.068621E-06 6.564628E-06 
397 4.157769E-06 5.067268E-06 6.563247E-06 
398 4.156486E-06 5.065910E-06 6.561859E-06 
399 4.155199E-06 5.064548E-06 6.560464E-06 
400 4.153908E-06 5.063181E-06 6.559063E-06 
401 4.152613E-06 5.061810E-06 6.557655E-06 
402 4.151316E-06 5.060435E-06 6.556242E-06 
403 4.150014E-06 5.059056E-06 6.554823E-06 
404 4.148710E-06 5.057673E-06 6.553398E-06 
405 4.147403E-06 5.056287E-06 6.551968E-06 
406 4.146094E-06 5.054897E-06 6.550534E-06 
407 4.144781E-06 5.053504E-06 6.549094E-06 
408 4.143466E-06 5.052107E-06 6.547649E-06 
409 4.142149E-06 5.050708E-06 6.546200E-06 
410 4.140829E-06 5.049305E-06 6.544746E-06 
411 4.139507E-06 5.047898E-06 6.543287E-06 
412 4.138183E-06 5.046489E-06 6.541824E-06 
413 4.136856E-06 5.045076E-06 6.540356E-06 
414 4.135528E-06 5.043659E-06 6.538883E-06 
415 4.134197E-06 5.042239E-06 6.537406E-06 
416 4.132863E-06 5.040815E-06 6.535923E-06 
417 4.131527E-06 5.039388E-06 6.534436E-06 
418 4.130189E-06 5.037957E-06 6.532943E-06 
419 4.128848E-06 5.036521E-06 6.531445E-06 
420 4.127505E-06 5.035081E-06 6.529941E-06 
421 4.126158E-06 5.033636E-06 6.528431E-06 
422 4.124809E-06 5.032187E-06 6.526914E-06 
423 4.123456E-06 5.030732E-06 6.525391E-06 
424 4.122100E-06 5.029272E-06 6.523862E-06 
425 4.120741E-06 5.027806E-06 6.522325E-06 
426 4.119378E-06 5.026333E-06 6.520780E-06 
427 4.118010E-06 5.024854E-06 6.519227E-06 
428 4.116639E-06 5.023369E-06 6.517666E-06 
429 4.115265E-06 5.021878E-06 6.516097E-06 
430 4.113887E-06 5.020381E-06 6.514522E-06 
431 4.112506E-06 5.018879E-06 6.512940E-06 
432 4.111122E-06 5.017372E-06 6.511351E-06 
433 4.109735E-06 5.015861E-06 6.509756E-06 
434 4.108347E-06 5.014344E-06 6.508155E-06 
435 4.106956E-06 5.012824E-06 6.506549E-06 
436 4.105562E-06 5.011300E-06 6.504937E-06 
437 4.104168E-06 5.009772E-06 6.503321E-06 
438 4.102771E-06 5.008240E-06 6.501699E-06 
439 4.101373E-06 5.006705E-06 6.500073E-06 
440 4.099973E-06 5.005168E-06 6.498442E-06 
441 4.098572E-06 5.003627E-06 6.496807E-06 
442 4.097170E-06 5.002083E-06 6.495167E-06 
443 4.095767E-06 5.000537E-06 6.493524E-06 
444 4.094362E-06 4.998989E-06 6.491876E-06 
445 4.092957E-06 4.997438E-06 6.490225E-06 
446 4.091551E-06 4.995885E-06 6.488569E-06 
447 4.090144E-06 4.994330E-06 6.486910E-06 
448 4.088736E-06 4.992773E-06 6.485248E-06 
449 4.087328E-06 4.991214E-06 6.483581E-06 
450 4.085918E-06 4.989653E-06 6.481911E-06 
451 4.084508E-06 4.988091E-06 6.480236E-06 
452 4.083097E-06 4.986526E-06 6.478558E-06 
453 4.081685E-06 4.984959E-06 6.476876E-06 
454 4.080273E-06 4.983391E-06 6.475190E-06 
455 4.078859E-06 4.981821E-06 6.473500E-06 
456 4.077445E-06 4.980249E-06 6.471805E-06 
457 4.076029E-06 4.978675E-06 6.470106E-06 
458 4.074612E-06 4.977098E-06 6.468402E-06 
459 4.073194E-06 4.975520E-06 6.466693E-06 
460 4.071774E-06 4.973939E-06 6.464979E-06 
461 4.070352E-06 4.972356E-06 6.463260E-06 
462 4.068929E-06 4.970771E-06 6.461535E-06 
463 4.067504E-06 4.969183E-06 6.459804E-06 
464 4.066077E-06 4.967592E-06 6.458067E-06 
465 4.064647E-06 4.965997E-06 6.456323E-06 
466 4.063215E-06 4.964400E-06 6.454572E-06 
467 4.061781E-06 4.962800E-06 6.452815E-06 
